# How many duplicates are there for each certificate, grouped by same CN and not_before timestamp.

+-----+---------+
|dupes|    count|
+-----+---------+
|  121|        1|
|  120|        1|
|  118|        1|
|  113|        1|
|  112|        1|
|  111|        1|
|  108|        2|
|  107|        1|
|  106|        2|
|  104|        1|
|   99|        1|
|   95|        1|
|   93|        1|
|   89|        1|
|   81|        1|
|   80|        1|
|   74|        1|
|   69|        1|
|   67|        1|
|   66|        1|
|   62|        1|
|   61|        1|
|   58|        1|
|   57|        1|
|   56|        2|
|   55|        1|
|   54|        4|
|   53|        1|
|   51|        4|
|   50|        2|
|   49|        2|
|   48|        3|
|   47|        1|
|   46|        3|
|   45|        3|
|   44|        5|
|   43|        2|
|   42|        7|
|   41|        1|
|   40|        7|
|   39|        5|
|   38|       16|
|   37|       18|
|   36|       28|
|   35|        7|
|   34|        9|
|   33|       17|
|   32|       37|
|   31|       88|
|   30|      138|
|   29|      162|
|   28|      245|
|   27|      302|
|   26|      308|
|   25|      269|
|   24|      372|
|   23|      140|
|   22|      177|
|   21|      155|
|   20|      336|
|   19|      347|
|   18|      673|
|   17|      505|
|   16|     1058|
|   15|      592|
|   14|     1546|
|   13|      804|
|   12|     5896|
|   11|     1775|
|   10|    59821|
|    9|     1770|
|    8|    62436|
|    7|     2136|
|    6|   210022|
|    5|     3764|
|    4|  2399232|
|    3|    38455|
|    2|437915934|
|    1| 46144959|
+-----+---------+
