The interval between certificates (after filtering) sorted by amount of days.

+--------+---------+
|duration|count    |
+--------+---------+
|485.0   |7        |
|484.0   |8        |
|483.0   |22       |
|482.0   |23       |
|481.0   |20       |
|480.0   |36       |
|479.0   |35       |
|478.0   |36       |
|477.0   |26       |
|476.0   |43       |
|475.0   |64       |
|474.0   |63       |
|473.0   |38       |
|472.0   |81       |
|471.0   |65       |
|470.0   |79       |
|469.0   |124      |
|468.0   |109      |
|467.0   |85       |
|466.0   |107      |
|465.0   |112      |
|464.0   |104      |
|463.0   |128      |
|462.0   |140      |
|461.0   |136      |
|460.0   |164      |
|459.0   |151      |
|458.0   |153      |
|457.0   |181      |
|456.0   |181      |
|455.0   |195      |
|454.0   |201      |
|453.0   |186      |
|452.0   |186      |
|451.0   |180      |
|450.0   |160      |
|449.0   |222      |
|448.0   |193      |
|447.0   |223      |
|446.0   |224      |
|445.0   |238      |
|444.0   |220      |
|443.0   |245      |
|442.0   |214      |
|441.0   |261      |
|440.0   |255      |
|439.0   |263      |
|438.0   |288      |
|437.0   |262      |
|436.0   |306      |
|435.0   |322      |
|434.0   |374      |
|433.0   |297      |
|432.0   |325      |
|431.0   |344      |
|430.0   |458      |
|429.0   |769      |
|428.0   |1077     |
|427.0   |957      |
|426.0   |736      |
|425.0   |646      |
|424.0   |355      |
|423.0   |316      |
|422.0   |303      |
|421.0   |301      |
|420.0   |451      |
|419.0   |326      |
|418.0   |341      |
|417.0   |319      |
|416.0   |328      |
|415.0   |404      |
|414.0   |391      |
|413.0   |351      |
|412.0   |378      |
|411.0   |395      |
|410.0   |349      |
|409.0   |386      |
|408.0   |437      |
|407.0   |438      |
|406.0   |447      |
|405.0   |498      |
|404.0   |458      |
|403.0   |479      |
|402.0   |461      |
|401.0   |447      |
|400.0   |493      |
|399.0   |535      |
|398.0   |493      |
|397.0   |504      |
|396.0   |535      |
|395.0   |567      |
|394.0   |579      |
|393.0   |710      |
|392.0   |677      |
|391.0   |564      |
|390.0   |525      |
|389.0   |647      |
|388.0   |610      |
|387.0   |600      |
|386.0   |584      |
|385.0   |717      |
|384.0   |684      |
|383.0   |720      |
|382.0   |737      |
|381.0   |789      |
|380.0   |705      |
|379.0   |854      |
|378.0   |882      |
|377.0   |881      |
|376.0   |1119     |
|375.0   |969      |
|374.0   |1105     |
|373.0   |1319     |
|372.0   |1282     |
|371.0   |1355     |
|370.0   |1912     |
|369.0   |2357     |
|368.0   |3049     |
|367.0   |6896     |
|366.0   |7162     |
|365.0   |3976     |
|364.0   |2882     |
|363.0   |1463     |
|362.0   |1177     |
|361.0   |1421     |
|360.0   |1507     |
|359.0   |1171     |
|358.0   |1107     |
|357.0   |1037     |
|356.0   |930      |
|355.0   |859      |
|354.0   |965      |
|353.0   |1196     |
|352.0   |979      |
|351.0   |1188     |
|350.0   |1166     |
|349.0   |1196     |
|348.0   |932      |
|347.0   |1070     |
|346.0   |1313     |
|345.0   |1041     |
|344.0   |1092     |
|343.0   |1243     |
|342.0   |1181     |
|341.0   |1155     |
|340.0   |1430     |
|339.0   |1240     |
|338.0   |1224     |
|337.0   |1421     |
|336.0   |1585     |
|335.0   |1444     |
|334.0   |1424     |
|333.0   |1667     |
|332.0   |1620     |
|331.0   |1572     |
|330.0   |1596     |
|329.0   |1671     |
|328.0   |1652     |
|327.0   |1492     |
