The interval between certificates (after filtering) sorted by amount of occurences.
+--------+---------+
|duration|count    |
+--------+---------+
|60.0    |129670205|
|61.0    |69762191 |
|62.0    |13179690 |
|59.0    |7695912  |
|63.0    |6074775  |
|58.0    |5923756  |
|56.0    |4584021  |
|75.0    |3353415  |
|120.0   |3134889  |
|65.0    |2851654  |
|64.0    |2514292  |
|76.0    |2489062  |
|70.0    |2451038  |
|66.0    |2275663  |
|121.0   |2265976  |
|80.0    |2054056  |
|69.0    |1767374  |
|30.0    |1764908  |
|49.0    |1666337  |
|83.0    |1657452  |
|67.0    |1584855  |
|82.0    |1563844  |
|68.0    |1556100  |
|31.0    |1467976  |
|122.0   |1393448  |
|85.0    |1359912  |
|77.0    |1294575  |
|84.0    |1253152  |
|74.0    |1241534  |
|53.0    |1207544  |
|90.0    |1106981  |
|71.0    |1024362  |
|42.0    |957327   |
|87.0    |937590   |
|54.0    |937514   |
|55.0    |927983   |
|72.0    |901742   |
|81.0    |899388   |
|32.0    |874697   |
|73.0    |869205   |
|88.0    |823030   |
|57.0    |818323   |
|50.0    |744916   |
|79.0    |738160   |
|89.0    |736492   |
|78.0    |720827   |
|91.0    |704291   |
|51.0    |670112   |
|52.0    |658127   |
|123.0   |620446   |
|35.0    |614173   |
|86.0    |609455   |
|45.0    |603851   |
|48.0    |595189   |
|33.0    |482731   |
|182.0   |412927   |
|34.0    |410754   |
|47.0    |399733   |
|92.0    |383098   |
|36.0    |374546   |
|43.0    |338069   |
|37.0    |330871   |
|124.0   |329578   |
|39.0    |316064   |
|38.0    |313627   |
|40.0    |308199   |
|44.0    |299478   |
|46.0    |289443   |
|41.0    |284842   |
|183.0   |269641   |
|93.0    |253672   |
|126.0   |238771   |
|125.0   |236722   |
|118.0   |213323   |
|94.0    |200224   |
|127.0   |183596   |
|181.0   |177107   |
|95.0    |173312   |
|96.0    |154503   |
|98.0    |148139   |
|119.0   |145548   |
|112.0   |143852   |
|97.0    |142867   |
|184.0   |139213   |
|128.0   |132925   |
|129.0   |131647   |
|117.0   |123614   |
|99.0    |119396   |
|116.0   |118042   |
|130.0   |117072   |
|104.0   |116517   |
|105.0   |111385   |
|100.0   |107484   |
|102.0   |106336   |
|106.0   |101787   |
|111.0   |97585    |
|101.0   |96581    |
|113.0   |96353    |
|136.0   |91804    |
|131.0   |91591    |
|244.0   |89975    |
|243.0   |88825    |
|103.0   |86545    |
|137.0   |83624    |
|132.0   |83484    |
|107.0   |77489    |
|133.0   |72587    |
|138.0   |71651    |
|140.0   |71035    |
|109.0   |70982    |
|110.0   |69638    |
|108.0   |68781    |
|185.0   |68761    |
|134.0   |65025    |
|135.0   |63953    |
|143.0   |63088    |
|139.0   |61981    |
|114.0   |61061    |
|152.0   |59468    |
|245.0   |57787    |
|150.0   |56944    |
|115.0   |53604    |
|141.0   |47506    |
|166.0   |47350    |
|180.0   |45580    |
|186.0   |42884    |
|142.0   |42617    |
|242.0   |42584    |
|144.0   |36926    |
|148.0   |36042    |
|151.0   |35946    |
