# How often are certificates being renewed. Get amount, the first and last month of the not_before for grouped certificates.

+------+----------------+---------------+-------+
|interv|first_year_month|last_year_month|count  |
+------+----------------+---------------+-------+
|6     |201903          |202001         |7730057|
|1     |202001          |202001         |4586126|
|1     |201903          |201903         |4385789|
|1     |201912          |201912         |3826656|
|1     |202005          |202005         |3754948|
|6     |201902          |201912         |3376027|
|1     |202002          |202002         |3325765|
|7     |201902          |202002         |3294480|
|1     |201904          |201904         |3098919|
|1     |201902          |201902         |3080315|
|1     |201910          |201910         |2567686|
|1     |201911          |201911         |2545740|
|1     |201908          |201908         |2500891|
|1     |201909          |201909         |2452263|
|1     |201905          |201905         |2410391|
|1     |201907          |201907         |2402152|
|7     |201903          |202003         |2332277|
|1     |201906          |201906         |2312143|
|1     |202003          |202003         |2023163|
|7     |201903          |202005         |1930451|
|2     |201911          |202001         |1804924|
|2     |201903          |201905         |1743938|
|6     |201904          |202002         |1587949|
|2     |201910          |201912         |1461518|
|3     |201909          |202001         |1440627|
|1     |202004          |202004         |1382625|
|3     |201903          |201907         |1313921|
|4     |201907          |202001         |1311320|
|6     |201904          |202001         |1287212|
|4     |201903          |201909         |1211366|
|2     |201912          |202002         |1198867|
|6     |201903          |201912         |1125520|
|5     |201903          |201911         |1106542|
|5     |201905          |202001         |1083769|
|5     |201904          |201912         |1080534|
|3     |201908          |201912         |1042697|
|2     |201902          |201904         |1038466|
|3     |201910          |202002         |971844 |
|3     |201902          |201906         |914259 |
|4     |201906          |201912         |867821 |
|5     |201902          |201910         |857349 |
|2     |201904          |201906         |830523 |
|6     |201903          |202002         |789178 |
|4     |201908          |202002         |777823 |
|1     |202006          |202006         |776591 |
|8     |201903          |202005         |753773 |
|5     |201903          |202001         |739862 |
|4     |201902          |201908         |732215 |
|5     |201906          |202002         |687749 |
|8     |201902          |202004         |626623 |
|2     |202001          |202003         |579817 |
|2     |201908          |201910         |574789 |
|6     |201902          |202001         |573741 |
|2     |201909          |201911         |560219 |
|7     |201903          |202002         |554066 |
|3     |201904          |201908         |546065 |
|4     |201904          |201912         |542872 |
|5     |201903          |201912         |517280 |
|5     |201902          |201912         |473148 |
|4     |201904          |201910         |468518 |
|2     |201907          |201909         |448474 |
|3     |201911          |202003         |439191 |
|7     |201904          |202005         |438532 |
|2     |202001          |202005         |422203 |
|3     |201907          |201911         |403821 |
|2     |201906          |201908         |387948 |
|7     |201904          |202003         |380546 |
|7     |201903          |202004         |378926 |
|2     |201905          |201907         |378788 |
|4     |201909          |202003         |378100 |
|5     |201904          |202001         |375282 |
|7     |201904          |202004         |371585 |
|7     |201902          |202001         |363754 |
|3     |201911          |202005         |357576 |
|5     |201907          |202003         |346505 |
|5     |201904          |202002         |338140 |
|5     |201902          |202001         |323355 |
|2     |201910          |202001         |315481 |
|4     |201909          |202005         |312185 |
|3     |201906          |201910         |311913 |
|2     |201909          |201912         |309336 |
|6     |201905          |202003         |309150 |
|3     |201908          |202001         |290191 |
|5     |201903          |202002         |287894 |
|4     |201905          |202001         |283999 |
|5     |201905          |201912         |281540 |
|3     |201905          |201909         |275377 |
|2     |202002          |202004         |273107 |
|5     |201907          |202005         |272943 |
|4     |201903          |201911         |271538 |
|2     |202003          |202005         |259162 |
|6     |201905          |202005         |253783 |
|6     |201902          |202002         |233599 |
|4     |201905          |201911         |229694 |
|8     |201902          |202005         |226473 |
|3     |201909          |202002         |222531 |
|2     |201908          |201912         |222006 |
|4     |201906          |202001         |221374 |
|4     |201904          |202001         |220315 |
|3     |201906          |201912         |213044 |
|2     |201911          |202002         |210409 |
|4     |201903          |201912         |207179 |
|5     |201905          |202002         |206959 |
|4     |201902          |201912         |203579 |
|7     |201903          |202001         |203435 |
|4     |201905          |201912         |201947 |
|7     |201902          |202005         |201071 |
|7     |201902          |202003         |199741 |
|8     |201902          |202006         |196108 |
|6     |201903          |202005         |195696 |
|3     |201912          |202004         |195246 |
|3     |201903          |201908         |194204 |
|6     |201903          |202003         |193052 |
|3     |201907          |201912         |191138 |
|2     |201903          |201906         |190590 |
|5     |201903          |201910         |181771 |
|4     |201907          |202002         |171334 |
|3     |201903          |201909         |168323 |
|4     |201910          |202004         |165294 |
